land,tool,charge_time_land,price,price_USDT,charge_time,cpu,wax_stake_peracc,wax_total_cost_peracc,tlm_peracc_daily,accounts,wax_net_monthly,USD_net_monthly,ROI_tool_each_acc,percent_interest_monthly,interval_new_acc,score
Geothermal Springs,Power Saw,1.5,215.0,25.8,1080.0,26.0,312.0,957.0,9.5,3.6,220.0,26.0,254.0,6.4,130.0,0.8401267427481827
Mushroom Forest,Basic Trilium Detector,2.0,149.9,18.0,680.0,41.0,492.0,941.7,8.7,3.7,205.0,25.0,193.0,5.9,138.0,0.8361482068987585
Mountains,Power Extractor,3.0,172.0,20.7,1620.0,17.0,204.0,720.0,7.2,4.8,216.0,26.0,268.0,6.3,100.0,0.8346356981313939
Rocky Desert,Power Extractor,2.0,172.0,20.7,1080.0,26.0,312.0,828.0,7.9,4.2,209.0,25.0,244.0,6.1,119.0,0.831354066174099
Tree Forest,Infused Extractor,1.3,257.0,30.9,936.0,30.0,360.0,1131.0,10.9,3.1,219.0,26.0,265.0,6.3,155.0,0.830065809388081
Tree Forest,Power Extractor,1.3,172.0,20.7,702.0,40.0,480.0,996.0,9.1,3.5,204.0,24.0,212.0,5.9,146.0,0.8296700271239674
Active Volcano,Basic Trilium Detector,5.0,149.9,18.0,1700.0,16.0,192.0,641.7,6.3,5.4,209.0,25.0,267.0,6.1,92.0,0.8271586008801202
Active Volcano,ExoGloves,5.0,18.0,2.2,400.0,69.0,828.0,882.0,6.6,3.9,159.0,19.0,31.0,4.6,166.0,0.8261052570773904
Grass Coastline,Basic Trilium Detector,1.1,149.9,18.0,374.00000000000006,74.0,888.0,1337.7,11.3,2.6,191.0,23.0,149.0,5.5,210.0,0.8250088105464917
Rocky Coastline,Gasrigged Extractor,2.0,210.0,25.2,2160.0,13.0,156.0,786.0,7.8,4.4,216.0,26.0,302.0,6.3,109.0,0.8235715743992108
Inland River,Gasrigged Extractor,1.5,210.0,25.2,1620.0,17.0,204.0,834.0,8.2,4.1,213.0,26.0,288.0,6.2,117.0,0.8226780691722051
Icy Mountains,Power Saw,2.0,215.0,25.8,1440.0,19.0,228.0,873.0,8.4,4.0,213.0,26.0,287.0,6.2,123.0,0.8223807503929563
Sandy Coastline,Power Extractor,1.5,172.0,20.7,810.0,34.0,408.0,924.0,8.5,3.7,200.0,24.0,227.0,5.8,139.0,0.8215935975090916
Dunes,Power Extractor,1.5,172.0,20.7,810.0,34.0,408.0,924.0,8.5,3.7,200.0,24.0,227.0,5.8,139.0,0.8215935975090916
Sandy Coastline,Infused Extractor,1.5,257.0,30.9,1080.0,26.0,312.0,1083.0,10.3,3.2,213.0,26.0,280.0,6.2,153.0,0.8214923618805612
Dunes,Infused Extractor,1.5,257.0,30.9,1080.0,26.0,312.0,1083.0,10.3,3.2,213.0,26.0,280.0,6.2,153.0,0.8214923618805612
Dormant Volcano,Gasrigged Extractor,2.5,210.0,25.2,2700.0,10.0,120.0,750.0,7.5,4.6,217.0,26.0,314.0,6.3,104.0,0.8204793599887641
Inland River,Standard Drill,1.5,50.9,6.1,360.0,77.0,924.0,1076.7,8.2,3.2,166.0,20.0,70.0,4.8,195.0,0.820128976886438
Methane Swampland,ExoGloves,3.5,18.0,2.2,280.0,99.0,1188.0,1242.0,8.7,2.8,155.0,19.0,23.0,4.5,240.0,0.8168564995159366
Icy Desert,Power Saw,1.7,215.0,25.8,1224.0,23.0,276.0,921.0,8.8,3.7,208.0,25.0,274.0,6.0,133.0,0.8167036210312544
Small Island,Standard Drill,2.1,50.9,6.1,504.0,55.0,660.0,812.7,6.3,4.2,163.0,20.0,91.0,4.7,150.0,0.8140352671041123
Tree Forest,Gasrigged Extractor,1.3,210.0,25.2,1404.0,20.0,240.0,870.0,8.2,4.0,208.0,25.0,288.0,6.0,125.0,0.8133114119725459
Sandy Desert,Basic Trilium Detector,1.2,149.9,18.0,408.0,68.0,816.0,1265.7,10.4,2.7,182.0,22.0,162.0,5.3,209.0,0.812648450558577
